title,location,desc,price,bath,bed,toilet,area
1 bedroom mini flat for rent,"Igbo Efon, Lekki, Lagos","A fully serviced 1 bedroom mini flat on the upper floor in a block of serviced apartment at igbo-efon, lekki.the apartment has the following features:* open plan kitchen with lovely cabinets and heat extractor*standby generator with at least 12hrs generator time weekdays and 16hrs weekend*2 nos. split air-conditioners in the apartment*2 toilets and 1 bathroom*clean treated water*well paved premises with ample parking space*24hrs security personnel*equipped gym*sit-out terrace arearent-n1,250,000 per annum, service charge-n300k per annum, diesel deposit-n400k per annum (n100k quarterly).agency-10%, legal-10%, caution deposit-n100k.contact toplift realtors on 08029763540 or 07046057...",1250000,,,2 Toilets,lekki
4 bedroom terraced duplex for rent,"Lekki Phase 1, Lekki, Lagos",Premium furnished and fully serviced 4 bedroom terraced duplex within an exclusive part of lekki phase 1 for rentwith furniture: 10mwithout furniture: 7msc: 1.5mdiesel deposit: 1mcaution: 500kagency: 10%legal: ...,10000000,4 Bathrooms,4 Bedrooms,5 Toilets,lekki
4 bedroom terraced duplex for rent,"Lekki Phase 1, Lekki, Lagos",Extra luxury furnished and serviced 4 bedroom terraced duplex with bq and exquisite appurtenances within an premium part of lekki phase 1 for rentrent: 5mservice charge: 3m (all inclusive)agency: 10%legal: 5%caution:...,5000000,4 Bathrooms,4 Bedrooms,5 Toilets,lekki
3 bedroom flat / apartment for rent,"Phase One, Lekki, Lagos",A well maintained 3 bedroom flat to let at lekki phase one with a good road condition and secure neighborhood.rent:3.5magency:350agreement:350refundable caution:200*ech...,3500000,3 Bathrooms,3 Bedrooms,4 Toilets,lekki
2 bedroom flat / apartment for rent,"Road 23, Lekki Peninsula Scheme 2, Ajah, Lagos","This brand new luxury 2 bedroom duplex come with a very standard design and the kitchen is massive and 2 rooms upstairs they both come with standard balcony and a sizeable living room upstairs for more privacy,the house is just 2 minutes away from emerald estate, fully interlocked road and easily to access from mobile,just exactly what you're seeing in the pictures,rent: 2magency: 200kagreement: 200kcaution: 200ktotal package: 2.6mask us for more than...",2000000,3 Bathrooms,2 Bedrooms,3 Toilets,lekki
1 bedroom mini flat for rent,"Whitesands Estate Ologolo, Lekki, Lagos","A room and parlour is available at pavilion apartments in whitesands estate ologolo lekki.rent :1.5millionagency:#150klegal :150kcaution:#75k----------------------total: #1,875,000e...",1500000,,,,lekki
1 bedroom mini flat for rent,"Lekki Phase 1, Lekki, Lagos",Mini flat in lekki phase1rent #2.5mservice charge #400kagency 10%legal 10%call the home properties on 07034194181j...,2500000,,,,lekki
1 bedroom flat / apartment for rent,"Idado Estate, Idado, Lekki, Lagos",Luxury massive master bedroom shared apartmentrent 900kagent 10%legal 10%caution fee 100kservice charge 200klocation idado estates lekki lagosvideo availa...,900000,,,,lekki
Shop for rent,"Fola Oshibo Road Lekki Phase 1, Lekki, Lagos",Show room shop space on fola oshibo road lekki phase 1 la...,4000000,,,,lekki
Self contained (single rooms) for rent,"Gated And Secured Estate, Agungi, Lekki, Lagos","A spacious room self contain(upstairs) in a gated and well secured estate at agungi, lekkirent-n900k per annum, agency-10%,legal-10% and caution deposit-n50k.contact toplift realtors on 08029763540 or 07046057...",900000,,,,lekki
3 bedroom semi-detached duplex for rent,"Lekki Phase 1, Lekki, Lagos",3 bedroom semi detached house with a room bq at lekki phase 1 for commercial u...,7000000,3 Bathrooms,3 Bedrooms,4 Toilets,lekki
5 bedroom detached duplex for rent,"Chevron Drive, Lekki, Lagos",This is a very beautiful spacious and sophisticated 5 bedroom detached duplex located in a very serene and secure estate in chevron drive lekkirent 5 millioncaution 10%agency 10%legal 10%you would be very lucky to have this place at such a price because it's rare .. the car park can park up to 5 cars . hurr...,5000000,5 Bathrooms,5 Bedrooms,6 Toilets,lekki
3 bedroom terraced duplex for rent,"Lekki Phase 1, Lekki, Lagos",Sharp clean and standard 3 bedroom terrace duplex with fully fitted kitchen available in lekki phase 1rent 3.8s/c 500caution 250agent 10%legal ...,3800000,3 Bathrooms,3 Bedrooms,4 Toilets,lekki
4 bedroom semi-detached duplex for rent,"Lekki Phase 1, Lekki, Lagos",Very spacious 3 bedroom duplex with for commercial at lekki phase...,5500000,4 Bathrooms,4 Bedrooms,5 Toilets,lekki
Self contained (single rooms) for rent,"Prime Waterview Gardens Estate, Off Freedom Way, Ikate, Lekki, Lagos","Self contained/studio apartment at prime water view gardens 2, ikate, lekki phase 1.yearly rent: n650,000 (six hundred and fifty thousand naira only).agency - 10%legal - 10%service charge: n360,000/yearly.covers 24hours electricity supply, water, water treatment plant, sewage, waste disposal, swimming pool, lawn tennis court, basketball court, 24 hours security, etc...please note: there is no kitch...",650000,,,,lekki
3 bedroom flat / apartment for rent,"Lekki Right, Lekki Phase 1, Lekki, Lagos","This lovely luxury 3 bedroom flat is located on the right side of lekki, with amazing facilitiesfeatures:- all rooms ensuite-serviced- 24 hours security-pool- 1 bqrent: n4millions.c: n2millioncaution:n500,000legal and agency 10% e...",4000000,3 Bathrooms,3 Bedrooms,4 Toilets,lekki
3 bedroom flat / apartment for rent,"Osapa London, Lekki, Lagos",Service 3bedroom flat with a bq available for rent at at osapa london lekki.annual rent 3mservice charge 500kdiesel deposit 200kagency 300klegal 300kcaution fee 200ktotal package is 4.5mdo...,3000000,3 Bathrooms,3 Bedrooms,3 Toilets,lekki
Self contained (single rooms) for rent,"Osapa London, Lekki, Lagos",Upstairs and serviced room self con available for rent at osapa london lekki.features:steady lightclean running waterwater heaterwardrobetv setbed & mattressac unitrent 650kservice charge #250kagency 65klegal 65kcaution 50ke...,650000,,,,lekki
4 bedroom semi-detached duplex for rent,"Orchid Road By 2nd Toll Gate Eleganza Lekki Lagos, Lekki, Lagos",4 bedroom semi detached duplex for rent on orchid roadannual rent 4magency 10%legal 10%caution 300kfor house inspection call richyinvestment on 08126551018 or 08122596...,4000000,4 Bathrooms,4 Bedrooms,5 Toilets,lekki
3 bedroom flat / apartment for rent,"Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","Spacious 3 bedroom apartment upstairs 3 units in the compound off admiralty way, lekki phase onerent 3.8mservice charge 350kagent and legal fees 10%eachcaution 250kcall 08170355...",3800000,,3 Bedrooms,4 Toilets,lekki
2 bedroom flat / apartment for rent,"Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",Spacious 2 bedroom apartment to let off admiralty way lekki phase onerent 2.8mservice charge 250kagent and legal fees 10% eachcaution deposit 200kcall 08170355...,2800000,,2 Bedrooms,3 Toilets,lekki
1 bedroom mini flat for rent,"Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","Spacious miniflat to let off admiralty way lekki phase one, 3 people in the compound.rent 1.8mservice charge 150kagent and legal fees 10% eachcaution deposit 100kcall 08170355...",1800000,,,,lekki
5 bedroom flat / apartment for rent,"Lekki Scheme 1, Lekki, Lagos",This is a fantastic 5 bedroom duplex located in a safe and secured environment.this apartment is self servic...,3500000,5 Bathrooms,5 Bedrooms,,lekki
1 bedroom flat / apartment for rent,"Spg Road, Ologolo, Lekki, Lagos","Luxury one bedroom self-contained in ologolo, lekki.kitchen is shared.rent: 480klegal: 48kagency: 48kcaution: 48ksecurity man's salary: security man's salary, waste disposal and septic t...",480000,,,,lekki
Self contained (single rooms) for rent,"Spg Road, Ologolo, Lekki, Lagos","Luxury one bedroom self-contained along spg road, ologolo, lekki.kitchen is shared.rent: 480klegal: 48kagency: 48kcaution: 48kservice charge: 37,500 per year (security man's salary, waste disposal and septic ta...",480000,,,,lekki
4 bedroom terraced duplex for rent,"Lekki Right Hand Side, Lekki, Lagos","Brand new luxury 4 bedroom terrace duplex at lekki right hand side, lekki going for n8.5m per annum, ssrvice charge is n2m per annum. (diesel inclusive), caution deposit is n500k, agency & legal fees - 10% ea...",8500000,4 Bathrooms,4 Bedrooms,5 Toilets,lekki
1 bedroom flat / apartment for rent,"Spg Road, Ologolo, Lekki, Lagos","One bedroom self-contained in spg road, ologolo, lekki.kitchen is shared.rent: 450klegal: 45kagency: 45kcaution: 45kservice charge: 37,500 annually (security man's salary, waste disposal and septic ta...",450000,,,,lekki
Commercial land for rent,"Opposite Imax Road., Lekki Phase 1, Lekki, Lagos","We have for lease, land measuring 2000sqm. we'll fenced, located lekki phase 1, just opp imax.it is suitable for all commercial purposes.the owner is looking at 5years upfront.kindly contact us for further info and inspecti...",20000000,,,,lekki
Self contained (single rooms) for rent,"Spg Road, Ologolo, Lekki, Lagos","One bedroom self-contained in spg road, ologolo, lekki.kitchen is shared.rent: 430klegal: 43kagency: 43kcaution: 43kservice charge: 37,500 annually (security man's salary, waste disposal and septic ta...",430000,,,,lekki
1 bedroom flat / apartment for rent,"Ologolo, Lekki, Lagos","Spacious one bedroom self-contained in ologolo, lekki.has kitchenhas a balconyrent: 650klegal: 65kagency: 65kcaution: 65kservice charge: 37,500 annually (security man's salary, waste disposal and septic ta...",650000,,,,lekki
5 bedroom house for rent,"Victory Park Osapa London, Lekki, Lagos",5 bedroom fully detached apartment with maid's room located at victory park osapa london lekki.for inspection and payment please call daniel daramola on 08160032...,9000000,6 Bathrooms,5 Bedrooms,6 Toilets,lekki
2 bedroom flat / apartment for rent,"Lekki County, Ikota, Lekki, Lagos",We have a newly built 2 bedroom with excellent quality in very secure estate in ikota available for re...,2800000,2 Bathrooms,2 Bedrooms,3 Toilets,lekki
5 bedroom detached duplex for rent,"Chevron Drive, Lekki, Lagos",This is a very beautiful spacious and sophisticated 5 bedroom detached duplex located in a very serene and secure estate in chevron drive lekkirent 5 millioncaution 10%agency 10%legal 10%you would be very lucky to have this place at such a price because it's rare .. the car park can park up to 5 cars . hurr...,5000000,5 Bathrooms,5 Bedrooms,6 Toilets,lekki
1 bedroom mini flat for rent,"Fola Osibo Phase One, Lekki, Lagos",*an existing spacious standard restaurant available at fola osibo lekki phase1*.*price 2.7m(inclusive of service charge) for 7months*.. *good for all kinds of business and office use*.*aw...,2700000,,,,lekki
3 bedroom flat / apartment for rent,"Lekki Phase 1, Lekki, Lagos","3 bedroom flat for let in lekki phase 1features;-all rooms en suite-swimming pool-24 hours power supply- fitted kitchen-a room staff quarter-elevator-secure environmentprice n4,5m per annumservice charge n1.9mfor enquirers and inspection please call 08181849377 09098586...",4500000,3 Bathrooms,3 Bedrooms,4 Toilets,lekki
3 bedroom flat / apartment for rent,"Paradise Estate Chevron Drive, Lekki, Lagos",Nicely built 3 bedroom flat service apartment for rentthis lovely apartment is nicely built and it is located in a very matured and quiet gated estatethey enjoy wonderful facilities such as:lawn tennis courtkids play groundrelaxation spotnote:rent 3magency 10%legal 10%caution 200kservice charge:250k(annually)basic necessities:constant power supply 24/7well treated waterinterlocked roaddisciplined security'paradise estate chevron drive lekki garden 3note: on ground floorfor enquirers & inspection.24 hours telephone line: call / whatsapp wale [08028111215 ).dunovella properties limitedestate agency & properties marketingreal estate development & advisoryhomes & building soluti...,3500000,3 Bathrooms,3 Bedrooms,4 Toilets,lekki
4 bedroom semi-detached duplex for rent,"Ikota, Lekki, Lagos","For rent: tastefully finished 4 bedroom semi-detached duplex with bq at ikota, lekki, lagos.features:- tastefully finished- modern, top-notch quality fittings/ fixtures- all rooms en-suite- large sitting rooms- interlocked floor- spacious master bedroom with balcony- fitted kitchen, which includes gas and electric cooker, heat extractor, etc.- solid security doors covering all entry points- modern sound system already connected all around the house- cctv camera installed round the house- located in a safe, secured, organized and serene estate- 24hrs security- located on a well interlocked road with excellent drainage network system- the finishing is top-notch (it is a must-see)- one year rent acceptablerent: n3.5 million per annumfor further enquiries/ arrangement for inspection, please contact:gabriel: 08177766550 (call/ whatsapp)chris: 08177766115 (call/ whatsapp)emma: 08177766112 (call/ whatsapp)bluehedge realtors- estate agency and property marketing- real estate development and advisorytel: +234-8032065685 (call/ whatsapp), 08177766110-9 (call/ whatsapp)website: www.bluehedgerealtors.comemail: [email protected]instagram: bluehedgerealt...",3500000,5 Bathrooms,4 Bedrooms,6 Toilets,lekki
3 bedroom flat / apartment for rent,"Shoreline Drive, Off Banana Island Road, Ikoyi, Lagos","For rent: brand new, fully serviced and luxuriously finished 3 bedroom flat with bq at banana island road, ikoyi, lagos. this beautiful and amazing property is located in the prestigious, serene and well secured area, off banana island road, lagos, nigeria. the property was carefully designed and built to ensure luxury, class and functionality. the property is a well secured and serviced apartments in the highbrow/ high-income area of ikoyi. residents enjoy features such as steady water (borehole) system, 24/7 power supply, good road layout, street lighting, central water and sewage treatment system and proper waste management system. this beautiful property has impressive internal and external spaces, fully fitted with quality and contemporary fittings and fixtures. other features:- exquisite finishing- finished with swimming pool, cctv camera, gym, water treatment plant, etc. - all rooms en suite with additional visitors toilet- spacious bedrooms with well fitted wardrobes- spacious sitting room- beautifully fitted kitchen- solid security doors covering all entry points- parking space- en suite gate house- 24/7 electricity- water treatment plant- close proximity to lekki phase one, victoria island, oniru and old ikoyi- one year rent acceptablerent: n10million per annumservice charge: n2million per annumfor further enquiries/ arrangement for inspection, please contact:chris: 08177766115 (call/ whatsapp)gabriel: 08177766550 (call/ whatsapp)emma: 08177766112 (call/ whatsapp)bluehedge realtors- estate agency and property marketing- real estate development and advisorytel: +234-8032065685 (call/ whatsapp), 08177766110-9 (call/ whatsapp)website: www. bluehedgerealtors. comemail: [email protected] cominstagram: @bluehedgerealt...",10000000,3 Bathrooms,3 Bedrooms,4 Toilets,lekki
2 bedroom flat / apartment for rent,"Megamond Estate, Ikota, Lekki, Lagos","New listing2 bedroom pent house at megamond estate, lekki, lagosrent: n2m per annumtotal package: n2,660,...",2000000,2 Bathrooms,2 Bedrooms,3 Toilets,lekki
Self contained (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos","A very nice self contain available for rent in lekki phase 1rent is 900k and with a service charges 300kservice charges cover electricity and security, lawma, waste evacuation,water treatment plant, lighting common area.and you're expected to come with your genfor more information kindly call 07039408161 or 08154892...",900000,,,,lekki
Self contained (single rooms) for rent,"Shoprite Road Osapa London, Osapa, Lekki, Lagos","Nice and standard self con share apartment available in a serene and secured with security guard estate in osapa london off shoprite road lekki lagos. features: spacious and standard room size, good ventilation, serene and cozy environment; fence and gated compound; good road network; good accessibility and proximity to the expressway; stable electricity supply.rent 1magency 100klegal fee 100kcaution deposit 50kservice charge 30k monthly, it covers everything except maintenance and fuel for the genera...",1000000,,,,lekki
2 bedroom flat / apartment for rent,"Westend Estate, Ikota, Lekki, Lagos","A very spacious and luxuriously finished 2 bedroom flat in a gated estate here in ikota inside the westend estate. comes with 2 large rooms, a spacious sitting, and lots of ample parking space.the flats construction is rounding off and it will be ready end of february.it is your chance now to get one ahead of completion if you are looking to move to a new place in early part of 2022.comes with a fully fitted kitchen and well finished interiors.the estate is located just 2 minutes drive from the lekki epe expressw...",3000000,2 Bathrooms,2 Bedrooms,2 Toilets,lekki
3 bedroom house for rent,"Lekki Phase 1, Lekki, Lagos",A 3 bedroom semi-detached duplex with bq (with it's own spacious compound)location::::::::: lekki phase 1.suitable for residential or commercial use.rent-n5m per annum or n4.5m per annum for 2years paym...,5000000,,3 Bedrooms,,lekki
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","For rentlovely 2 bedroom apartment with a room bq (bq can be converted into a 3rd room)features:secured environmentspacious compoundspacious living roomfitted kitchenspacious roomswater heatersall rooms en-suitebalconyample parkingrent: 3.5millionagency: 10%legal: 10%service charge: not yet fixedlocation: ikate-lekki, lekkititle: governor's cons...",3500000,,2 Bedrooms,,lekki
Self contained (single rooms) for rent,"Ocean Bay Estate Orchid, Lekki, Lagos",A standard room in a duplex shared kitchen only with 24hrs electricity available at ocean bay estate orchid lekki lagos..rent 600k agent 60k agreement 60k caution 60k service charge 1...,600000,,,,lekki
1 bedroom mini flat for rent,"Lekki Right, Lekki, Lagos","Standard self service mini flat available for rent at lekki right,lekkirent 1.8magency 10%agreement 10%caution fee 10%service charge 250k par annum...",1800000,,,,lekki
3 bedroom terraced duplex for rent,"Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","A lovely and well maintained 3 bedroom serviced terraced duplex with bq for lease located off admiralty way, lekki phase 1, lekki.it has the following features and facilities:*swimming pool*standby generator*24hrs security personnel*well paved premises with ample parking space*spacious and well ventilated spaces.rent-n3.8m per annum, service charge-n500k per annum(exclusive of power), agency-10%,legal-10%contact toplift realtors on 08029763540 or 07046057...",3800000,3 Bathrooms,3 Bedrooms,4 Toilets,lekki
3 bedroom flat / apartment for rent,"Lekki Right, Lekki Phase 1, Lekki, Lagos","To let3bedroom apartment.location. lekki1, right hand siderent. 4.5 millionsc. 2 millionfeaturesswimming poolgymall en-su...",4500000,3 Bathrooms,3 Bedrooms,4 Toilets,lekki
4 bedroom terraced duplex for rent,"Lekki Phase 1, Lekki, Lagos",Lekki phase 1luxury 4 bedroom furnished terrace duplex for rentrent 10msc: 1.5mdiesel deposit: 1mrefundable deposit : 5...,10000000,4 Bathrooms,4 Bedrooms,5 Toilets,lekki
3 bedroom terraced duplex for rent,"Lekki Phase 1, Lekki, Lagos","3bedroom terrace for rentlocation : off freedom way, lekkiphhase1rent:6.5ms.c: n650,000caution:n500,000agency:10%legal:10 %uc mtinsdng...",6500000,3 Bathrooms,3 Bedrooms,4 Toilets,lekki
3 bedroom semi-detached duplex for rent,"Lekki Phase 1, Lekki, Lagos",To letmassive 3bedroom semi-detached with bqit will take up to 15 carslocation ; lekkiphase1rent :- 7mlegal:- 10%agency :- 10%can be used for commercial or residentialucmatnsdng...,7000000,3 Bathrooms,3 Bedrooms,4 Toilets,lekki
4 bedroom detached duplex for rent,"Lekki Phase 1, Lekki, Lagos","4 bedroom detached duplex with bqlocation : off admalty way, lekkiphhase1rent 10mlegal 10%agency 10%caution 10%self serviceuc mtinsdng...",10000000,4 Bathrooms,4 Bedrooms,5 Toilets,lekki
3 bedroom flat / apartment for rent,"Lekki Phase 1, Lekki, Lagos","To let:3 bedroom flat with balcony and master bedroom ensuitelocation: in a serene and secured estate(oriwu ayodele estate, beside u3 estate) ayodele odubiyi streetelf bustop by petrocam filling station lekki phase 1 (right)facilities;swimming poolgymstandby generatorsdedicated transformermotion sensor cctv'swater treatment plantsecuritylaundry unitssmoke detectorsgas alarmsfire extinguisherssmart door locksspot lightsvip loungebarindustrial kitchenbabicue grill cornerrent ; 3.5mservice charge 1.5mcaution 200kagency 10% of rentlegal 10% of renttp; n5.9mservice charge covers (refuse disposal, generator maintenance, facility personnel, plumbing, septic dislodgment, tank washing, electrical infrastructure, cctv, drive way maintenance, drainage, lighting, carpentry works, fire prevention equipment maintenance, chemical purchase, borehole/pumps & water treatment plant maintenance, swimming pool maintenance, interlock/painting maintenance, gym maintenance, horticulturist/gardening, fumigation, cleaning consumables etc. note: service charge covers only common areas. the service charge does not include the following: flat/apartment internal repairs, diesel, phcn bills, estate dues.power; pay as you ...",3500000,2 Bathrooms,3 Bedrooms,3 Toilets,lekki
5 bedroom detached duplex for rent,"Chevron Drive, Lekki, Lagos",This is a very beautiful spacious and sophisticated 5 bedroom detached duplex located in a very serene and secure estate in chevron drive lekkirent 5 millioncaution 10%agency 10%legal 10%you would be very lucky to have this place at such a price because it's rare .. the car park can park up to 5 cars . hurr...,5000000,5 Bathrooms,5 Bedrooms,6 Toilets,lekki
4 bedroom detached duplex for rent,"U3 Estate Lekki Right Side Behind Petrocam Petrol, Lekki Phase 1, Lekki, Lagos","Well finished 4bedroom detached house with bq acs, fitted kitchen, treated water ...",8500000,5 Bathrooms,4 Bedrooms,5 Toilets,lekki
3 bedroom flat / apartment for rent,"Lekki Palm City Estate, Ajah, Lagos","Features:- spacious living room- sizeable bedrooms/rooms ensuite- fitted kitchen- great design- quality wardrobes- sophisticated finishing- good title document- beautiful, modern,& affordable-spacious bedrooms and living room-ample parking sp...",2500000,3 Bathrooms,3 Bedrooms,4 Toilets,lekki
4 bedroom semi-detached duplex for rent,"Chevron, Lekki, Lagos","For rent: 4 bedroom semi detached duplex with a room bq at chevron, lekki.features:-all rooms en-suite-guest toilet-en-suite bq-dinning area-kitchen- family lounge.-balcony-parking spacerent- 4.5magency- 10%legal- 5%refundable caution- 300ktotal- n5,475,000contact jsp realtors for further enquiries and inspecti...",4500000,4 Bathrooms,4 Bedrooms,5 Toilets,lekki
2 bedroom flat / apartment for rent,"Off Road 14 Lekki Scheme 2, Ajah, Lagos","This luxury 2bedroom apartment come with a very unique style and very beautiful, while talking of luxury you can't leave this house behind no matter how you see it, everything is fixed just come with your load, just 4unit in the compound and is on a good location, very easy to access on a tilled road inside lekki peninsula scheme 2.features:* maisonette house* luxury 2bedroom*beautiful kitchen* all rooms en-suit* wardrobe* pop* drop lights in living room and bedrooms* kitchen gas cooker with oven and grill.* water heater in all rooms and kitchencall and asks us for more than...",1500000,2 Bathrooms,2 Bedrooms,3 Toilets,lekki
4 bedroom terraced duplex for rent,"Lekki, Lagos","Brand new 4 bedroom terrace duplex for rentprice: ₦4,000,000location: lekki, lagoscaution fee: ₦250,000features:-all rooms ensuite-fitted kitchen-jacuzzi-pop ceiling-cctv-store-inbuilt speakers-intercoms-walk-in closet-water heater-heat extractorinquiries ii inspection ii purchase ii call/whatsapp +2348089473815email: [email protected]website: https://picturemanrealties.com/instagram: www.instagram.com/pictureman_realties/facebook:www.facebook.com/picturemanrealti...",4000000,5 Bathrooms,4 Bedrooms,5 Toilets,lekki
4 bedroom semi-detached duplex for rent,"Lekki Scheme2, Ajah, Lagos",Rent 2mcaution 500kagency 10%legal ...,2000000,5 Bathrooms,4 Bedrooms,5 Toilets,lekki
5 bedroom semi-detached duplex for rent,"Lekki Phase 1, Lekki, Lagos","Brand new luxury 5 bedroom semi detached duplex in a serene estate in lekki phase 1 for rent. it features includes;spacious sitting and living rooms,it has two living rooms,high quality electrical light fittings,well designed and finished kitchen with it's cabinet and fully fitted,nicely finished wardrobes and walk-in closet for the masters,it has a swimming pool, gym, court yard and the green area as well,it has a balcony that gives you good ambience from the waterfront,it has a water fall as well,it comes with 24hrs power supply,it has a bq to it,clean water guaranteed with the water treatment plant...price ...12mservice charge ... 2magency ... 1.2mlegal... 1.2mcaution ... 600k...",12000000,5 Bathrooms,5 Bedrooms,6 Toilets,lekki
4 bedroom detached duplex for rent,"Orchid Road, Lekki, Lagos","A massive fully serviced 4 bedroom fully detached duplex with a penthouse and walk in closet is now available in a fully secured,, tared and flood free estate down orchid road , by the second toll gate lekki late for rent call now to book ur inspection to...",6000000,4 Bathrooms,4 Bedrooms,5 Toilets,lekki
4 bedroom detached duplex for rent,"Osapa London, Osapa, Lekki, Lagos","4 bedroom fully detached duplex with bq for rentprice: ₦4,500,000location: osapa london, lekki, lagoscaution fee: ₦300,000features:-all rooms ensuite-fitted kitchen-jacuzzi-pop ceiling-cctv-store-inbuilt speakers-intercoms-walk-in closet-water heater-heat extractorinquiries ii inspection ii purchase ii call/whatsapp +2348089473815email: [email protected]website: https://picturemanrealties.com/instagram: www.instagram.com/pictureman_realties/facebook:www.facebook.com/picturemanrealti...",4500000,4 Bathrooms,4 Bedrooms,5 Toilets,lekki
4 bedroom terraced duplex for rent,"Lekki Phase 1, Lekki, Lagos",Beautifully finished 4 bedroom terrace duplex available for rent at lekki phase one.rent : 7mservice charge: 700kagency : 700kcaution: ...,7000000,4 Bathrooms,4 Bedrooms,5 Toilets,lekki
3 bedroom flat / apartment for rent,"Lekki Phase 1 Right Hand Side, Lekki, Lagos","3 bedrooms terrace with swimming pool at lekki right side of phase 1rent is 3.8m naira per annumservice charge 500k excluding generator and phcn power..this is what you have been searching for...stop the search and call michael now on 0-8-0-8-4-6-0-1-1-9-3 to book an inspection today...call him now,he is waiting for your ca...",3800000,3 Bathrooms,3 Bedrooms,4 Toilets,lekki
2 bedroom house for rent,"Dkk, Lekki, Lagos",Very beautiful and spacious 2 bedroom at dkklekki lagos1.3m for rentagency 10%legal ...,1300000,4 Bathrooms,2 Bedrooms,3 Toilets,lekki
2 bedroom flat / apartment for rent,"Lekki Phase 1, Lekki, Lagos",Luxury 2 bedroom apartment in the heart of lekki phase 1 off admiralty way.rent 3mservice 500kagency-10%legal-10%caution-200kbring your generator setlekki phase 1agency and legal fee is 10% of rent.call michael now on 0-8-0-8-4-6-0-1-1-9-3 to book an inspection tod...,3000000,2 Bathrooms,2 Bedrooms,3 Toilets,lekki
4 bedroom semi-detached duplex for rent,"By Victoria Bay Estate, Orchid Hotel Road, Lekki, Lagos","To let 4 bedroom semi detached duplex with 24hrs electricity !!this peaceful home is located in gated estate with access controlrent : 4.3m per annumagency : 10%legal : 10%refundable caution fees : 400klocation: erim's place by victoria bay estate, orchid road, lekki lagosfeatures:fully serviceden-suite roomsfully fitted kitchenboy's quarterfamily loungepop ceilingwalk-in-closetcctv cameras24/7 power24/7 securityinterested in this property?call/whatsapp us for enquires/inspection 08154029096 , 08100226183...",4300000,4 Bathrooms,4 Bedrooms,5 Toilets,lekki
3 bedroom flat / apartment for rent,"Lekki Phase 1, Lekki, Lagos",Brand new 3 bedroom flat with a room bq available in the heart of lekki phase 1rent - 4magency fee -400klegal fee -200kcaution deposit is -250kservice charge -300k2 in a compoundlocation-lekki 1this is exactly what you have been searching for.stop the search and call michael now on 0-8-0-8-4-6-0-1-1-9-3 to book an inspection tod...,4000000,4 Bathrooms,3 Bedrooms,4 Toilets,lekki
3 bedroom flat / apartment for rent,"Off Admiralty Road, Lekki Phase 1, Lekki, Lagos",Specious 3 bedroom flat with a study room.rent:4mlekki phase1agency:10%legal:10%caution:3...,4000000,3 Bathrooms,3 Bedrooms,4 Toilets,lekki
4 bedroom terraced duplex for rent,"Ilasan, Lekki, Lagos","Brand new 4 bedroom terrace duplex available for rent at ilasan,lekkirent 3magent 10%legal: 5%caution: 100kservice charge: 500kr...",3000000,4 Bathrooms,4 Bedrooms,4 Toilets,lekki
4 bedroom terraced duplex for rent,"Ikota Villa Estate, Lekki, Lagos",4 bedroom terrace duplex available for rent at ikota villa estate lekki.rent: 3.8millionagency: 10%legal: 10%caution: 300kself serviceddo...,3800000,4 Bathrooms,4 Bedrooms,4 Toilets,lekki
Self contained (single rooms) for rent,"Lekki One, Lekki Phase 1, Lekki, Lagos",Sweet self contai...,1200000,,,,lekki
4 bedroom terraced duplex for rent,"Lekki Phase 1, Lekki, Lagos","Fully furnished and serviced 4 bedroom terrace duplex with bq & 24 hour power supply available for rent at lekki phase 1,lekki.rent:#10magency:#10%legal :10%caution:#500kdiesel deposit:#1msvc chg; n1.5mpr...",10000000,4 Bathrooms,4 Bedrooms,4 Toilets,lekki
Self contained (single rooms) for rent,"Osapa London, Osapa, Lekki, Osapa, Lekki, Lagos","Beautifully built tastefully finished serviced 4 bedroom terrace duplex shared apartment in a quiet and lovely estate at osapa london, lekki, lagos.rent : 800kagency: 10%legal:10%caution:50kservice charge: # 400k per annumtotal package: #1,360,000service charge includegenerator and diesel for a yearsupply of clean and treated water, security services, cleaning of common area, evacuation of septic tank, refuse disposal, maintenance of estate generator and general facilities.generator comes upduring the week 7pm to 9amweekend and holidays additional 2pm to 4pmnepa light will be discussed by occupants on a monthly bas...",750000,2 Bathrooms,,3 Toilets,lekki
3 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","Relatively new 3 bedroom luxury serviced en-suite apartment available for rent in ikate, lekki.features* gated community* fully serviced* en-suite* open plan kitchen* good and treated water* flood free* central generator* fully fitted kitchen unit* 24hrs power* 24 hrs security* ample parking space* first floor* serene and secure neighborhood* standby security personnel* good & interlocked road network.price - 4.5 million naira5m (semi furnished)service charge - 500k (excluding power)diesel deposit - 200kagency and agreement - 10/10%refundable caution deposit - 5%location - ikate, lekki.08132058357[email protected]@tolstrorealest...",4500000,3 Bathrooms,3 Bedrooms,4 Toilets,lekki
